Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.executionSkipped,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.executionStarted,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.getExecutionResults,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.reportingEntryPublished,1,,,,,,,1.0,3.0
Public Class,org.junit.platform.testkit.engine.Executions,30,1.0,1.0,65.0,0.0,21.0,22.0,,117.0
Public Method,org.junit.platform.testkit.engine.Executions.aborted,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.assertThatExecutions,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.count,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.debug,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Executions.debug,1,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Executions.debug,1,,,,,,,1.0,5.0
Private Method,org.junit.platform.testkit.engine.Executions.debug,2,,,,,,,1.0,5.0
Private Method,org.junit.platform.testkit.engine.Executions.executionsByTerminationInfo,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.failed,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.filter,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Executions.finished,1,,,,,,,1.0,3.0
Private Method,org.junit.platform.testkit.engine.Executions.finishedExecutions,1,,,,,,,1.0,3.0
Private Method,org.junit.platform.testkit.engine.Executions.finishedExecutionsByStatus,2,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Executions.list,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.skipped,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.started,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.stream,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Executions.succeeded,1,,,,,,,1.0,3.0
Private Method,org.junit.platform.testkit.engine.ExecutionsIntegrationTests.getTestEvents,2,,,,,,,1.0,7.0
Private Method,org.junit.platform.testkit.engine.NestedContainerEventConditionTests.createEvent,1,,,,,,,1.0,8.0
Public Class,org.junit.platform.testkit.engine.TerminationInfo,12,1.0,1.0,66.0,0.0,6.0,9.0,,52.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.executed,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.getExecutionResult,2,,,,,,,1.0,6.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.getSkipReason,2,,,,,,,1.0,6.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.notSkipped,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.skipped,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.TerminationInfo.toString,2,,,,,,,1.0,10.0
Public Class,org.junit.platform.testkit.engine.TestExecutionResultConditions,15,1.0,1.0,0.0,0.0,12.0,11.0,,58.0
Private Class,org.junit.vintage.engine.JUnit4ParameterizedTests.StatusTrackingListener,2,1.0,1.0,0.0,0.0,5.0,1.0,,8.0
Public Method,org.junit.vintage.engine.JUnit4ParameterizedTests.StatusTrackingListener.executionFinished,2,,,,,,,1.0,5.0
Private Method,org.junit.vintage.engine.JUnit4ParameterizedTests.executeTests,1,,,,,,,1.0,10.0
Private Method,org.junit.vintage.engine.VintageLauncherIntegrationTests.discover,1,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.VintageLauncherIntegrationTests.execute,1,,,,,,,1.0,12.0
Public Method,org.junit.vintage.engine.VintageLauncherIntegrationTests.execute.(Anon_1).executionFinished,1,,,,,,,1.0,3.0
Private Method,org.junit.vintage.engine.VintageLauncherIntegrationTests.toRequest,1,,,,,,,1.0,3.0
Public Class,org.junit.vintage.engine.VintageTestEngine,7,1.0,1.0,0.0,0.0,16.0,6.0,,35.0
Public Method,org.junit.vintage.engine.VintageTestEngine.discover,1,,,,,,,1.0,4.0
Public Method,org.junit.vintage.engine.VintageTestEngine.execute,1,,,,,,,1.0,7.0
Private Method,org.junit.vintage.engine.VintageTestEngine.executeAllChildren,2,,,,,,,1.0,8.0
Public Method,org.junit.vintage.engine.VintageTestEngine.getArtifactId,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.VintageTestEngine.getGroupId,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.VintageTestEngine.getId,1,,,,,,,1.0,3.0
Private Method,org.junit.vintage.engine.VintageTestEngineDiscoveryTests.assertYieldsNoDescriptors,1,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.VintageTestEngineDiscoveryTests.assertYieldsNoDescriptors,1,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.VintageTestEngineDiscoveryTests.discoverTests,1,,,,,,,1.0,3.0
Private Method,org.junit.vintage.engine.VintageTestEngineDiscoveryTests.findChildByDisplayName,2,,,,,,,1.0,9.0
Private Method,org.junit.vintage.engine.VintageTestEngineDiscoveryTests.getClasspathRoot,1,,,,,,,1.0,4.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.DynamicAndStaticChildrenRunner.getDescription,1,,,,,,,1.0,5.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.DynamicAndStaticChildrenRunner.run,1,,,,,,,1.0,8.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.DynamicSuiteRunner.getDescription,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.DynamicSuiteRunner.run,1,,,,,,,1.0,5.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.MisbehavingChildlessRunner.getDescription,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.MisbehavingChildlessRunner.run,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.reportsExecutionEventsAroundLifecycleMethods.(Anon_1).dynamicTestRegistered,1,,,,,,,1.0,2.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.reportsExecutionEventsAroundLifecycleMethods.(Anon_1).executionFinished,1,,,,,,,1.0,4.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.reportsExecutionEventsAroundLifecycleMethods.(Anon_1).executionSkipped,1,,,,,,,1.0,4.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.reportsExecutionEventsAroundLifecycleMethods.(Anon_1).executionStarted,1,,,,,,,1.0,4.0
Public Method,org.junit.vintage.engine.VintageTestEngineExecutionTests.reportsExecutionEventsAroundLifecycleMethods.(Anon_1).reportingEntryPublished,1,,,,,,,1.0,2.0
Public Class,org.junit.vintage.engine.VintageUniqueIdBuilder,10,1.0,1.0,0.0,0.0,4.0,9.0,,37.0
Public Class,org.junit.vintage.engine.descriptor.DescriptionUtils,5,2.0,1.0,0.0,0.0,2.0,2.0,,18.0
Private Method,org.junit.vintage.engine.descriptor.DescriptionUtilsTests.toDynamicTest,2,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.descriptor.DescriptionUtilsTests.toDynamicTests,2,,,,,,,1.0,9.0
Public Method,org.junit.vintage.engine.descriptor.OrFilter.describe,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.OrFilter.shouldRun,2,,,,,,,1.0,3.0
Private Method,org.junit.vintage.engine.descriptor.OrFilterTests.mockFilter,1,,,,,,,1.0,6.0
Public Method,org.junit.vintage.engine.descriptor.RunnerRequest.getRunner,1,,,,,,,1.0,3.0
Public Class,org.junit.vintage.engine.descriptor.RunnerTestDescriptor,28,1.0,3.0,77.0,0.0,23.0,14.0,,125.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.ExcludeDescriptionFilter.describe,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.ExcludeDescriptionFilter.shouldRun,2,,,,,,,1.0,7.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.applyFilters,3,,,,,,,1.0,14.0
Protected Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.canBeRemovedFromHierarchy,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.clearFilters,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.getFilters,1,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.getLegacyReportingName,3,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.getRunnerToReport,2,,,,,,,1.0,3.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.isIgnored,1,,,,,,,1.0,3.0
Private Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.logIncompleteFiltering,3,,,,,,,1.0,9.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.prune,4,,,,,,,1.0,14.0
Public Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.toRequest,1,,,,,,,1.0,3.0
Protected Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.tryToExcludeFromRunner,2,,,,,,,1.0,10.0
Private Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.tryToFilterRunner,3,,,,,,,1.0,12.0
Private Method,org.junit.vintage.engine.descriptor.RunnerTestDescriptor.warnAboutUnfilterableRunner,2,,,,,,,1.0,5.0
Public Class,org.junit.vintage.engine.descriptor.TestSourceProvider,13,2.0,1.0,75.0,0.0,16.0,4.0,,47.0
Private Method,org.junit.vintage.engine.descriptor.TestSourceProvider.computeTestSource,4,,,,,,,4.0,14.0
Private Method,org.junit.vintage.engine.descriptor.TestSourceProvider.findMethod,5,,,,,,,4.0,16.0
Public Method,org.junit.vintage.engine.descriptor.TestSourceProvider.findTestSource,2,,,,,,,1.0,4.0
Private Method,org.junit.vintage.engine.descriptor.TestSourceProvider.sanitizeMethodName,2,,,,,,,1.0,6.0
Public Class,org.junit.vintage.engine.descriptor.VintageEngineDescriptor,2,1.0,3.0,0.0,0.0,2.0,2.0,,8.0
Public Method,org.junit.vintage.engine.descriptor.VintageEngineDescriptor.getModifiableChildren,1,,,,,,,1.0,3.0
Public Class,org.junit.vintage.engine.descriptor.VintageTestDescriptor,22,1.0,2.0,46.0,1.0,17.0,13.0,,83.0
Private Method,org.junit.vintage.engine.descriptor.VintageTestDescriptor.addCategoriesAsTags,2,,,,,,,1.0,12.0
Private Method,org.junit.vintage.engine.descriptor.VintageTestDescriptor.addTagsFromParent,1,,,,,,,1.0,3.0
Protected Method,org.junit.vintage.engine.descriptor.VintageTestDescriptor.canBeRemovedFromHierarchy,1,,,,,,,1.0,3.0
